,0
0,neutral
1,neutral
2,negative
3,positive
4,positive
5,positive
6,positive
7,positive
8,positive
9,positive
10,positive
11,neutral
12,neutral
13,positive
14,positive
15,positive
16,positive
17,positive
18,positive
19,neutral
20,positive
21,positive
22,positive
23,positive
24,positive
25,positive
26,positive
27,positive
28,positive
29,positive
30,positive
31,positive
32,positive
33,positive
34,neutral
35,positive
36,positive
37,neutral
38,positive
39,positive
40,positive
41,positive
42,positive
43,positive
44,neutral
45,positive
46,positive
47,neutral
48,positive
49,positive
50,positive
51,positive
52,neutral
53,positive
54,positive
55,positive
56,positive
57,positive
58,neutral
59,negative
60,positive
61,neutral
62,positive
63,positive
64,neutral
65,neutral
66,positive
67,neutral
68,positive
69,neutral
70,positive
71,positive
72,neutral
73,neutral
74,positive
75,negative
76,neutral
77,positive
78,neutral
79,neutral
80,neutral
81,positive
82,neutral
83,positive
84,positive
85,negative
86,negative
87,positive
88,positive
89,positive
90,positive
91,neutral
92,positive
93,positive
94,positive
95,negative
96,positive
97,positive
98,positive
99,positive
100,positive
101,positive
102,positive
103,positive
104,positive
105,positive
106,positive
107,positive
108,positive
109,positive
110,neutral
111,neutral
112,positive
113,positive
114,positive
115,positive
116,positive
117,positive
118,positive
119,positive
120,neutral
121,negative
122,positive
123,positive
124,positive
125,neutral
126,positive
127,positive
128,positive
129,neutral
130,positive
131,positive
132,negative
133,neutral
134,positive
135,neutral
136,positive
137,positive
138,positive
139,neutral
140,positive
141,positive
142,negative
143,positive
144,positive
145,positive
146,positive
147,positive
148,positive
149,neutral
150,positive
151,neutral
152,positive
153,neutral
154,positive
155,positive
156,positive
157,neutral
158,neutral
159,neutral
160,neutral
161,positive
162,positive
163,positive
164,positive
165,positive
166,positive
167,positive
168,positive
169,positive
170,positive
171,positive
172,positive
173,positive
174,positive
175,positive
176,neutral
177,neutral
178,neutral
179,positive
180,positive
181,positive
182,positive
183,positive
184,positive
185,positive
186,neutral
187,positive
188,positive
189,positive
190,positive
191,neutral
192,positive
193,positive
194,positive
195,positive
196,positive
197,positive
198,positive
199,positive
200,positive
201,positive
202,positive
203,neutral
204,positive
205,positive
206,positive
207,positive
208,negative
209,positive
210,neutral
211,positive
212,positive
213,positive
214,positive
215,positive
216,positive
217,positive
218,positive
219,positive
220,positive
221,positive
222,positive
223,neutral
224,neutral
225,neutral
226,positive
227,positive
228,positive
229,positive
230,positive
231,positive
232,positive
233,neutral
234,neutral
235,positive
236,neutral
237,neutral
238,positive
239,neutral
240,positive
241,positive
242,positive
243,positive
244,positive
245,positive
246,positive
247,positive
248,positive
249,positive
250,positive
251,positive
252,positive
253,positive
254,neutral
255,positive
256,positive
257,positive
258,negative
259,positive
260,positive
261,positive
262,positive
263,positive
264,positive
265,positive
266,negative
267,positive
268,positive
269,positive
270,neutral
271,positive
272,positive
273,positive
274,positive
275,positive
276,neutral
277,positive
278,positive
279,neutral
280,positive
281,positive
282,positive
283,positive
284,positive
285,positive
286,positive
287,positive
288,positive
289,positive
290,neutral
291,negative
292,positive
293,neutral
294,neutral
295,neutral
296,positive
297,positive
298,neutral
299,positive
300,neutral
301,positive
302,neutral
303,positive
304,positive
305,positive
306,neutral
307,positive
308,positive
309,positive
310,positive
311,positive
312,positive
313,positive
314,positive
315,positive
316,positive
317,positive
318,positive
319,positive
320,positive
321,positive
322,positive
323,positive
324,positive
325,positive
326,positive
327,positive
328,positive
329,neutral
330,neutral
331,positive
332,positive
333,neutral
334,positive
335,neutral
336,positive
337,neutral
338,positive
339,positive
340,positive
341,positive
342,positive
343,positive
344,positive
345,neutral
346,positive
347,positive
348,positive
349,positive
350,positive
351,neutral
352,positive
353,positive
354,positive
355,positive
356,positive
357,neutral
358,positive
359,neutral
360,positive
361,neutral
362,positive
363,positive
364,positive
365,positive
366,positive
367,positive
368,positive
369,neutral
370,neutral
371,neutral
372,positive
373,positive
374,positive
375,positive
376,neutral
377,positive
378,positive
379,positive
380,positive
381,neutral
382,positive
383,positive
384,positive
385,neutral
386,positive
387,positive
388,positive
389,neutral
390,neutral
391,neutral
392,positive
393,neutral
394,positive
395,neutral
396,positive
397,neutral
398,positive
399,neutral
400,positive
401,positive
402,neutral
403,neutral
404,neutral
405,neutral
406,neutral
407,positive
408,positive
409,neutral
410,neutral
411,neutral
412,positive
413,neutral
414,neutral
415,negative
416,neutral
417,neutral
418,neutral
419,neutral
420,neutral
421,neutral
422,positive
423,negative
424,positive
425,positive
426,positive
427,neutral
428,positive
429,neutral
430,neutral
431,neutral
432,neutral
433,positive
434,neutral
435,neutral
436,neutral
437,neutral
438,neutral
439,positive
440,neutral
441,positive
442,positive
443,neutral
444,neutral
445,neutral
446,neutral
447,neutral
448,neutral
449,neutral
450,positive
451,positive
452,neutral
453,neutral
454,neutral
455,positive
456,neutral
457,neutral
458,negative
459,positive
460,neutral
461,neutral
462,neutral
463,neutral
464,neutral
465,neutral
466,positive
467,neutral
468,neutral
469,positive
470,positive
471,neutral
472,neutral
473,neutral
474,neutral
475,neutral
476,neutral
477,positive
478,neutral
479,neutral
480,neutral
481,neutral
482,neutral
483,neutral
484,positive
485,positive
486,positive
487,positive
488,neutral
489,positive
490,neutral
491,positive
492,positive
493,neutral
494,neutral
495,neutral
496,neutral
497,positive
498,neutral
499,neutral
500,neutral
501,neutral
502,neutral
503,neutral
504,neutral
505,neutral
506,neutral
507,negative
508,neutral
509,neutral
510,neutral
511,neutral
512,neutral
513,neutral
514,neutral
515,neutral
516,neutral
517,neutral
518,positive
519,positive
520,positive
521,neutral
522,neutral
523,neutral
524,neutral
525,neutral
526,neutral
527,neutral
528,neutral
529,neutral
530,positive
531,neutral
532,positive
533,neutral
534,neutral
535,positive
536,neutral
537,neutral
538,positive
539,negative
540,neutral
541,neutral
542,negative
543,negative
544,negative
545,positive
546,positive
547,positive
548,positive
549,positive
550,positive
551,positive
552,positive
553,neutral
554,neutral
555,neutral
556,positive
557,positive
558,neutral
559,positive
560,positive
